"collectTime","currentTime","a_x","a_y","a_z","alpha","beta","gama","w_alpha","w_beta","w_gama","force1","force2","force3","type","level","groups"
"1539857540821","1539857540821","-15288","-2424","5696","66.239502","-172.956375","-74.806923","-173","21","98","933","2135","2777","提：㇀","1","1"
"1539857540821","1539857540904","-10274","-1338","4272","65.982239","-170.728302","-72.866592","39","414","348","857","2275","3096","提：㇀","1","1"
"1539857540821","1539857541104","-14940","-1738","6104","65.860260","-169.496399","-71.868988","-55","-266","-41","887","2359","3127","提：㇀","1","1"
"1539857540821","1539857541241","-14878","-5004","2666","66.468239","-165.355362","-68.857040","-44","187","50","882","2411","3163","提：㇀","1","1"
"1539857540821","1539857541341","-15198","-4406","3194","66.432968","-165.310852","-68.765717","4","-44","-50","897","2359","3194","提：㇀","1","1"
"1539857540821","1539857541584","-15432","-3070","3776","66.416260","-164.155075","-67.560844","-54","-431","-99","961","2243","3107","提：㇀","1","1"
"1539857540821","1539857541685","-15422","-4272","2546","66.424355","-164.093323","-67.479073","221","-548","-139","659","1440","2043","提：㇀","1","1"
